c,e,n,t,e,r
"[[750.8538904190063], [572.7221348285675], [790.5726120471954], [465.271169424057]]","[[422.54785108566284], [328.5376100540161], [445.3475511074066], [273.41794538497925]]","[[332.1696763038635], [275.5213158130646], [353.8889217376709], [217.11224031448364]]","[[284.4555571079254], [257.08150029182434], [299.1766200065613], [246.96985745429993]]","[[265.09380173683167], [251.21996879577637], [267.20095229148865], [199.6293535232544]]","[[244.49672770500183], [233.94677186012268], [241.55283498764038], [201.24570226669312]]","[[232.45753717422485], [234.57690238952637], [232.43521165847778], [202.7469983100891]]","[[214.60275292396545], [224.80495619773865], [219.63280630111694], [201.56544423103333]]"
"[[3347.0], [2130.0], [3460.0], [1785.0]]","[[2332.0], [1468.0], [2395.0], [1114.0]]","[[2275.0], [1448.0], [2217.0], [1000.0]]","[[2310.0], [1525.0], [2305.0], [1067.0]]","[[2267.0], [1661.0], [2260.0], [1181.0]]","[[2238.0], [1751.0], [2240.0], [1311.0]]","[[2276.0], [1819.0], [2285.0], [1437.0]]","[[2275.0], [1970.0], [2284.0], [1589.0]]"
g,a,u,s,s,i,a,n
"[[71.77642846107483], [65.96630215644836], [86.30305433273315], [62.70017719268799]]","[[61.799713373184204], [56.83634161949158], [62.07794260978699], [56.36494851112366]]","[[60.31120324134827], [55.500351428985596], [57.73558568954468], [54.92128849029541]]","[[56.53409552574158], [54.92061424255371], [57.16889715194702], [53.69467759132385]]","[[54.87701869010925], [53.6369469165802], [56.24419331550598], [53.701212882995605]]","[[65.98355484008789], [55.16911792755127], [55.11139392852783], [54.14782738685608]]","[[65.94198179244995], [53.74671220779419], [60.67036008834839], [50.5396089553833]]","[[54.70446562767029], [55.82583832740784], [54.989638566970825], [54.596635580062866]]"
"[[4757.0], [2668.0], [4731.0], [2485.0]]","[[3390.0], [1811.0], [3499.0], [1731.0]]","[[3382.0], [1909.0], [3422.0], [1693.0]]","[[3482.0], [2124.0], [3515.0], [1986.0]]","[[3708.0], [2095.0], [3703.0], [2206.0]]","[[3885.0], [2329.0], [3770.0], [2396.0]]","[[4001.0], [2499.0], [4059.0], [2554.0]]","[[3888.0], [2565.0], [3915.0], [2707.0]]"
u,n,i,f,o,r,m
"[[80.97628164291382], [48.394134521484375], [82.01748323440552], [54.08618712425232]]","[[52.65764021873474], [32.95711898803711], [49.22076916694641], [39.07996678352356]]","[[44.01082801818848], [32.43526291847229], [46.13663053512573], [35.694058656692505]]","[[39.97214698791504], [31.78111171722412], [40.297577142715454], [34.81638550758362]]","[[36.94671010971069], [31.51471972465515], [37.413833141326904], [34.45893096923828]]","[[36.98948812484741], [32.72693157196045], [37.235833168029785], [35.32661008834839]]","[[36.387489557266235], [29.413217067718506], [35.636428117752075], [32.056623220443726]]","[[36.30635952949524], [31.287292003631592], [36.3954291343689], [34.27398085594177]]"
"[[10651.0], [3182.0], [10665.0], [4681.0]]","[[7770.0], [2123.0], [7733.0], [3743.0]]","[[8113.0], [2335.0], [8218.0], [4135.0]]","[[9101.0], [3020.0], [9259.0], [5058.0]]","[[9919.0], [3992.0], [9895.0], [5823.0]]","[[10943.0], [4474.0], [10795.0], [6721.0]]","[[11359.0], [5146.0], [11450.0], [7399.0]]","[[12216.0], [5930.0], [12226.0], [8148.0]]"
g,r,i,d
"[[12.87741756439209], [12.776219129562378], [12.435024976730347], [12.443204164505005]]","[[11.75976014137268], [12.352606773376465], [11.411282062530518], [11.721761703491211]]","[[11.096615314483643], [11.270843029022217], [11.784427165985107], [10.828491926193237]]","[[11.057798147201538], [10.751443147659302], [10.678168296813965], [11.09045124053955]]","[[10.352995872497559], [10.320878505706787], [10.749973058700562], [11.298727035522461]]","[[10.640102863311768], [11.068776607513428], [10.111865520477295], [10.057408571243286]]","[[10.065986633300781], [10.859726190567017], [10.324642896652222], [10.57458782196045]]","[[10.696635246276855], [10.03065538406372], [9.999332666397095], [10.289303302764893]]"
"[[55703.0], [56168.0], [56184.0], [56120.0]]","[[29965.0], [31971.0], [29936.0], [31978.0]]","[[25088.0], [26820.0], [25094.0], [26768.0]]","[[23073.0], [24588.0], [23017.0], [24650.0]]","[[21896.0], [23623.0], [21873.0], [23591.0]]","[[21397.0], [23007.0], [21394.0], [23006.0]]","[[20954.0], [22486.0], [20979.0], [22502.0]]","[[20652.0], [22175.0], [20653.0], [22160.0]]"
